"object","total_cards","has_more","next_page","data__object","data__id","data__oracle_id","data__multiverse_ids__001","data__multiverse_ids__002","data__mtgo_id","data__arena_id","data__tcgplayer_id","data__name","data__lang","data__released_at","data__uri","data__scryfall_uri","data__layout","data__highres_image","data__image_uris__small","data__image_uris__normal","data__image_uris__large","data__image_uris__png","data__image_uris__art_crop","data__image_uris__border_crop","data__mana_cost","data__cmc","data__type_line","data__oracle_text","data__loyalty","data__power","data__toughness","data__colors__001","data__colors__002","data__colors__003","data__color_identity__001","data__all_parts__object","data__all_parts__id","data__all_parts__component","data__all_parts__name","data__all_parts__type_line","data__all_parts__uri","data__color_identity__002","data__color_identity__003","data__card_faces__object","data__card_faces__name","data__card_faces__mana_cost","data__card_faces__type_line","data__card_faces__oracle_text","data__card_faces__colors__001","data__card_faces__colors__002","data__card_faces__colors__003","data__card_faces__color_indicator__001","data__card_faces__color_indicator__002","data__card_faces__color_indicator__003","data__card_faces__loyalty","data__card_faces__power","data__card_faces__toughness","data__card_faces__artist","data__card_faces__illustration_id","data__card_faces__image_uris__small","data__card_faces__image_uris__normal","data__card_faces__image_uris__large","data__card_faces__image_uris__png","data__card_faces__image_uris__art_crop","data__card_faces__image_uris__border_crop","data__legalities__standard","data__legalities__future","data__legalities__frontier","data__legalities__modern","data__legalities__legacy","data__legalities__pauper","data__legalities__vintage","data__legalities__penny","data__legalities__commander","data__legalities__duel","data__legalities__oldschool","data__games__001","data__games__002","data__games__003","data__reserved","data__foil","data__nonfoil","data__oversized","data__promo","data__reprint","data__set","data__set_name","data__set_uri","data__set_search_uri","data__scryfall_set_uri","data__rulings_uri","data__prints_search_uri","data__collector_number","data__digital","data__rarity","data__flavor_text","data__illustration_id","data__artist","data__border_color","data__frame","data__frame_effect","data__full_art","data__story_spotlight","data__edhrec_rank","data__prices__usd","data__prices__usd_foil","data__prices__eur","data__prices__tix","data__related_uris__gatherer","data__related_uris__tcgplayer_decks","data__related_uris__edhrec","data__related_uris__mtgtop8","data__purchase_uris__tcgplayer","data__purchase_uris__cardmarket","data__purchase_uris__cardhoarder"
"list","299","True","https://api.scryfall.com/cards/search?format=json&include_extras=false&include_multilingual=false&order=name&page=2&q=e%3Am19&unique=cards","card","de2de2bd-9ba7-4b6f-94c2-dafb2011a48e","edbf1b87-2d1e-47e6-a04e-a2b1646af7d9","447221","","68331","67850","168592","Abnormal Endurance","en","2018-07-13","https://api.scryfall.com/cards/de2de2bd-9ba7-4b6f-94c2-dafb2011a48e","https://scryfall.com/card/m19/85/abnormal-endurance?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/85.jpg?1531451690","https://img.scryfall.com/cards/normal/en/m19/85.jpg?1531451690","https://img.scryfall.com/cards/large/en/m19/85.jpg?1531451690","https://img.scryfall.com/cards/png/en/m19/85.png?1531451690","https://img.scryfall.com/cards/art_crop/en/m19/85.jpg?1531451690","https://img.scryfall.com/cards/border_crop/en/m19/85.jpg?1531451690","{1},{B}","2.0","Instant","Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""","","","","B","","","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/de2de2bd-9ba7-4b6f-94c2-dafb2011a48e/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aedbf1b87-2d1e-47e6-a04e-a2b1646af7d9&unique=prints","85","False","common","Tenacity prevails when hopes die.","8c285fb3-2cfa-482a-abc2-5a3b46e45a2f","Tomasz Jedruszek","black","2015","","False","False","5448","0.05","0.18","0.08","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447221","https://decks.tcgplayer.com/magic/deck/search?contains=Abnormal+Endurance&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Abnormal+Endurance","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Abnormal+Endurance","https://shop.tcgplayer.com/product/productsearch?id=168592&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Abnormal-Endurance?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68331?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","9160dde8-cd77-4967-a5f3-a676376c58f7","9d08af23-9f4a-4097-9abc-3b17475ab744","447263","","68415","67934","166699","Act of Treason","en","2018-07-13","https://api.scryfall.com/cards/9160dde8-cd77-4967-a5f3-a676376c58f7","https://scryfall.com/card/m19/127/act-of-treason?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/127.jpg?1531452252","https://img.scryfall.com/cards/normal/en/m19/127.jpg?1531452252","https://img.scryfall.com/cards/large/en/m19/127.jpg?1531452252","https://img.scryfall.com/cards/png/en/m19/127.png?1531452252","https://img.scryfall.com/cards/art_crop/en/m19/127.jpg?1531452252","https://img.scryfall.com/cards/border_crop/en/m19/127.jpg?1531452252","{2},{R}","3.0","Sorcery","Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.","","","","R","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/9160dde8-cd77-4967-a5f3-a676376c58f7/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9d08af23-9f4a-4097-9abc-3b17475ab744&unique=prints","127","False","common","She learned a tragic lesson that day: even the purest can be corrupted when the heart's emotions are twisted.","6cd9bce3-59c7-4451-b680-8241e0ac8d9e","Eric Deschamps","black","2015","","False","False","3083","0.03","0.15","0.05","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447263","https://decks.tcgplayer.com/magic/deck/search?contains=Act+of+Treason&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Act+of+Treason","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Act+of+Treason","https://shop.tcgplayer.com/product/productsearch?id=166699&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Act-of-Treason?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68415?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","0503c55d-74bb-4165-9273-127c01bb2214","f8e1b38a-2a77-4cf1-8bef-31acb61ede10","447137","","68163","67682","169279","Aegis of the Heavens","en","2018-07-13","https://api.scryfall.com/cards/0503c55d-74bb-4165-9273-127c01bb2214","https://scryfall.com/card/m19/1/aegis-of-the-heavens?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/1.jpg?1531450610","https://img.scryfall.com/cards/normal/en/m19/1.jpg?1531450610","https://img.scryfall.com/cards/large/en/m19/1.jpg?1531450610","https://img.scryfall.com/cards/png/en/m19/1.png?1531450610","https://img.scryfall.com/cards/art_crop/en/m19/1.jpg?1531450610","https://img.scryfall.com/cards/border_crop/en/m19/1.jpg?1531450610","{1},{W}","2.0","Instant","Target creature gets +1/+7 until end of turn.","","","","W","","","W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/0503c55d-74bb-4165-9273-127c01bb2214/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af8e1b38a-2a77-4cf1-8bef-31acb61ede10&unique=prints","1","False","uncommon","Inner strength is never seen until it makes all the difference.","73de66d6-c1ea-464f-92ba-307510f8a1b3","Anthony Palumbo","black","2015","","False","False","7417","0.09","0.41","0.10","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447137","https://decks.tcgplayer.com/magic/deck/search?contains=Aegis+of+the+Heavens&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Aegis+of+the+Heavens","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Aegis+of+the+Heavens","https://shop.tcgplayer.com/product/productsearch?id=169279&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Aegis-of-the-Heavens?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68163?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","5314bae2-4930-4f8a-8a52-853bc3feb88f","27f5969e-d613-4cbc-87af-98899bb5c58a","447347","","68583","68102","169064","Aerial Engineer","en","2018-07-13","https://api.scryfall.com/cards/5314bae2-4930-4f8a-8a52-853bc3feb88f","https://scryfall.com/card/m19/211/aerial-engineer?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/211.jpg?1531451106","https://img.scryfall.com/cards/normal/en/m19/211.jpg?1531451106","https://img.scryfall.com/cards/large/en/m19/211.jpg?1531451106","https://img.scryfall.com/cards/png/en/m19/211.png?1531451106","https://img.scryfall.com/cards/art_crop/en/m19/211.jpg?1531451106","https://img.scryfall.com/cards/border_crop/en/m19/211.jpg?1531451106","{2},{W},{U}","4.0","Creature — Human Artificer","As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.","","2","4","U","W","","U","","","","","","","W","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/5314bae2-4930-4f8a-8a52-853bc3feb88f/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A27f5969e-d613-4cbc-87af-98899bb5c58a&unique=prints","211","False","uncommon","The best of their trade know every bolt of their rigs, stem to stern.","a0589555-2629-4069-8091-4ea8bc7bdcaf","Zoltan Boros","black","2015","","False","False","13697","0.04","0.13","0.03","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447347","https://decks.tcgplayer.com/magic/deck/search?contains=Aerial+Engineer&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Aerial+Engineer","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Aerial+Engineer","https://shop.tcgplayer.com/product/productsearch?id=169064&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Aerial-Engineer?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68583?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","226f7c45-db9f-4d48-b575-4d2f1904c963","d2575513-72fa-49c7-be6b-9f6f85950f88","447138","","68165","67684","169280","Aethershield Artificer","en","2018-07-13","https://api.scryfall.com/cards/226f7c45-db9f-4d48-b575-4d2f1904c963","https://scryfall.com/card/m19/2/aethershield-artificer?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/2.jpg?1531450624","https://img.scryfall.com/cards/normal/en/m19/2.jpg?1531450624","https://img.scryfall.com/cards/large/en/m19/2.jpg?1531450624","https://img.scryfall.com/cards/png/en/m19/2.png?1531450624","https://img.scryfall.com/cards/art_crop/en/m19/2.jpg?1531450624","https://img.scryfall.com/cards/border_crop/en/m19/2.jpg?1531450624","{3},{W}","4.0","Creature — Dwarf Artificer","At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","","3","3","W","","","W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/226f7c45-db9f-4d48-b575-4d2f1904c963/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad2575513-72fa-49c7-be6b-9f6f85950f88&unique=prints","2","False","uncommon","Most smiths shape metal, but some prefer more delicate materials.","f2af8419-a87e-4e82-82e1-641e36fe8073","Izzy","black","2015","","False","False","5655","0.05","0.12","0.08","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447138","https://decks.tcgplayer.com/magic/deck/search?contains=Aethershield+Artificer&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Aethershield+Artificer","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Aethershield+Artificer","https://shop.tcgplayer.com/product/productsearch?id=169280&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Aethershield-Artificer?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68165?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","5d6178ed-6353-4733-81e1-7b3dc592c3bd","0a90d1fb-7a76-4b62-b001-4a539a8e5df1","447179","","68247","67766","169303","Aether Tunnel","en","2018-07-13","https://api.scryfall.com/cards/5d6178ed-6353-4733-81e1-7b3dc592c3bd","https://scryfall.com/card/m19/43/aether-tunnel?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/43.jpg?1531451169","https://img.scryfall.com/cards/normal/en/m19/43.jpg?1531451169","https://img.scryfall.com/cards/large/en/m19/43.jpg?1531451169","https://img.scryfall.com/cards/png/en/m19/43.png?1531451169","https://img.scryfall.com/cards/art_crop/en/m19/43.jpg?1531451169","https://img.scryfall.com/cards/border_crop/en/m19/43.jpg?1531451169","{1},{U}","2.0","Enchantment — Aura","Enchant creature\nEnchanted creature gets +1/+0 and can't be blocked.","","","","U","","","U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/5d6178ed-6353-4733-81e1-7b3dc592c3bd/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0a90d1fb-7a76-4b62-b001-4a539a8e5df1&unique=prints","43","False","uncommon","If you can't find a doorway, make one.","d82cd403-c694-47b3-ab81-5d49ae764af1","Lucas Graciano","black","2015","","False","False","3494","0.14","0.22","0.10","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447179","https://decks.tcgplayer.com/magic/deck/search?contains=Aether+Tunnel&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Aether+Tunnel","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Aether+Tunnel","https://shop.tcgplayer.com/product/productsearch?id=169303&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Aether-Tunnel?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68247?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","323f3c76-5e79-43e6-ae78-f555810edbc3","032b5fc4-5aca-41b6-9bf6-2c1ed0018968","450249","","68137","68286","168637","Aggressive Mammoth","en","2018-07-13","https://api.scryfall.com/cards/323f3c76-5e79-43e6-ae78-f555810edbc3","https://scryfall.com/card/m19/302/aggressive-mammoth?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/302.jpg?1531452089","https://img.scryfall.com/cards/normal/en/m19/302.jpg?1531452089","https://img.scryfall.com/cards/large/en/m19/302.jpg?1531452089","https://img.scryfall.com/cards/png/en/m19/302.png?1531452089","https://img.scryfall.com/cards/art_crop/en/m19/302.jpg?1531452089","https://img.scryfall.com/cards/border_crop/en/m19/302.jpg?1531452089","{3},{G},{G},{G}","6.0","Creature — Elephant","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther creatures you control have trample.","","8","8","G","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","False","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/323f3c76-5e79-43e6-ae78-f555810edbc3/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A032b5fc4-5aca-41b6-9bf6-2c1ed0018968&unique=prints","302","False","rare","""Approach from behind. That way, if it does charge, at least you aren't in front of it.""\n—Vivien Reid","2e3d377d-5564-4f7b-919e-f94a5f19362f","Filip Burburan","black","2015","","False","False","3313","0.74","null","0.64","null","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=450249","https://decks.tcgplayer.com/magic/deck/search?contains=Aggressive+Mammoth&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Aggressive+Mammoth","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Aggressive+Mammoth","https://shop.tcgplayer.com/product/productsearch?id=168637&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Aggressive-Mammoth?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68137?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","194d52c7-cdaf-49bc-ae32-350a526af239","7744bae4-a8b7-44a5-9b4c-0048ad4cc448","450255","","68149","68298","168640","Air Elemental","en","2018-07-13","https://api.scryfall.com/cards/194d52c7-cdaf-49bc-ae32-350a526af239","https://scryfall.com/card/m19/308/air-elemental?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/308.jpg?1531860959","https://img.scryfall.com/cards/normal/en/m19/308.jpg?1531860959","https://img.scryfall.com/cards/large/en/m19/308.jpg?1531860959","https://img.scryfall.com/cards/png/en/m19/308.png?1531860959","https://img.scryfall.com/cards/art_crop/en/m19/308.jpg?1531860959","https://img.scryfall.com/cards/border_crop/en/m19/308.jpg?1531860959","{3},{U},{U}","5.0","Creature — Elemental","Flying (This creature can't be blocked except by creatures with flying or reach.)","","4","4","U","","","U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","False","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/194d52c7-cdaf-49bc-ae32-350a526af239/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7744bae4-a8b7-44a5-9b4c-0048ad4cc448&unique=prints","308","False","uncommon","As the ship approached, the jade totem rose high overhead. Power rippled. Eyes of stone glowed and crackled. Out hissed a breath of the world, and a windstorm came alive.","843020fe-092f-47ab-a2e5-8a37065ff90d","Tomasz Jedruszek","black","2015","","False","False","12920","0.38","null","0.51","null","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=450255","https://decks.tcgplayer.com/magic/deck/search?contains=Air+Elemental&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Air+Elemental","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Air+Elemental","https://shop.tcgplayer.com/product/productsearch?id=168640&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Air-Elemental?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68149?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","card","4c565076-5db2-47ea-8ee0-4a4fd7bb353d","b25bea73-7444-4ee2-8022-611461506117","447139","","68167","67686","168680","Ajani, Adversary of Tyrants","en","2018-07-13","https://api.scryfall.com/cards/4c565076-5db2-47ea-8ee0-4a4fd7bb353d","https://scryfall.com/card/m19/3/ajani-adversary-of-tyrants?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/3.jpg?1531450639","https://img.scryfall.com/cards/normal/en/m19/3.jpg?1531450639","https://img.scryfall.com/cards/large/en/m19/3.jpg?1531450639","https://img.scryfall.com/cards/png/en/m19/3.png?1531450639","https://img.scryfall.com/cards/art_crop/en/m19/3.jpg?1531450639","https://img.scryfall.com/cards/border_crop/en/m19/3.jpg?1531450639","{2},{W},{W}","4.0","Legendary Planeswalker — Ajani","+1: Put a +1/+1 counter on each of up to two target creatures.\n−2: Return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.\n−7: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""","4","","","W","","","W","related_card","4c565076-5db2-47ea-8ee0-4a4fd7bb353d","combo_piece","Ajani, Adversary of Tyrants","Legendary Planeswalker — Ajani","https://api.scryfall.com/cards/4c565076-5db2-47ea-8ee0-4a4fd7bb353d","","","","","","","","","","","","","","","","","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/4c565076-5db2-47ea-8ee0-4a4fd7bb353d/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab25bea73-7444-4ee2-8022-611461506117&unique=prints","3","False","mythic","","899a1c07-c620-4fcc-8978-e7a8d4233404","Victor Adame Minguez","black","2015","","False","False","2885","9.48","15.55","7.47","0.44","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447139","https://decks.tcgplayer.com/magic/deck/search?contains=Ajani%2C+Adversary+of+Tyrants&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Ajani%2C+Adversary+of+Tyrants","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Ajani%2C+Adversary+of+Tyrants","https://shop.tcgplayer.com/product/productsearch?id=168680&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Ajani-Adversary-of-Tyrants?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68167?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","related_card","b31f1580-5bba-4cef-b0c8-f2837a597b7d","token","Cat","Token Creature — Cat","https://api.scryfall.com/cards/b31f1580-5bba-4cef-b0c8-f2837a597b7d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
