"object","total_cards","has_more","data__object","data__id","data__oracle_id","data__multiverse_ids__-","data__mtgo_id","data__arena_id","data__tcgplayer_id","data__name","data__lang","data__released_at","data__uri","data__scryfall_uri","data__layout","data__highres_image","data__image_uris__small","data__image_uris__normal","data__image_uris__large","data__image_uris__png","data__image_uris__art_crop","data__image_uris__border_crop","data__mana_cost","data__cmc","data__type_line","data__oracle_text","data__loyalty","data__power","data__toughness","data__colors__001","data__colors__002","data__colors__003","data__color_identity__001","data__color_identity__002","data__color_identity__003","data__all_parts__object","data__all_parts__id","data__all_parts__component","data__all_parts__name","data__all_parts__type_line","data__all_parts__uri","data__legalities__standard","data__legalities__future","data__legalities__frontier","data__legalities__modern","data__legalities__legacy","data__legalities__pauper","data__legalities__vintage","data__legalities__penny","data__legalities__commander","data__legalities__duel","data__legalities__oldschool","data__games__001","data__games__002","data__games__003","data__reserved","data__foil","data__nonfoil","data__oversized","data__promo","data__reprint","data__set","data__set_name","data__set_uri","data__set_search_uri","data__scryfall_set_uri","data__rulings_uri","data__prints_search_uri","data__collector_number","data__digital","data__rarity","data__flavor_text","data__illustration_id","data__artist","data__border_color","data__frame","data__frame_effect","data__full_art","data__story_spotlight","data__edhrec_rank","data__prices__usd","data__prices__usd_foil","data__prices__eur","data__prices__tix","data__related_uris__gatherer","data__related_uris__tcgplayer_decks","data__related_uris__edhrec","data__related_uris__mtgtop8","data__purchase_uris__tcgplayer","data__purchase_uris__cardmarket","data__purchase_uris__cardhoarder"
"list","299","False","card","0bf71f42-6e42-46c0-9e8f-394d2c4519ee","b254fefb-11d2-4369-ae5c-0c3bd48ae580","447327","68543","68062","168486","Oakenform","en","2018-07-13","https://api.scryfall.com/cards/0bf71f42-6e42-46c0-9e8f-394d2c4519ee","https://scryfall.com/card/m19/191/oakenform?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/191.jpg?1531450904","https://img.scryfall.com/cards/normal/en/m19/191.jpg?1531450904","https://img.scryfall.com/cards/large/en/m19/191.jpg?1531450904","https://img.scryfall.com/cards/png/en/m19/191.png?1531450904","https://img.scryfall.com/cards/art_crop/en/m19/191.jpg?1531450904","https://img.scryfall.com/cards/border_crop/en/m19/191.jpg?1531450904","{2},{G}","3.0","Enchantment — Aura","Enchant creature\nEnchanted creature gets +3/+3.","","","","G","","","G","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/0bf71f42-6e42-46c0-9e8f-394d2c4519ee/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab254fefb-11d2-4369-ae5c-0c3bd48ae580&unique=prints","191","False","common","""When the beast cloaks itself in the mighty oak, what good is a bow? When the oak wraps itself around the snarling beast, what good is a hatchet?""\n—Dionus, elvish archdruid","364a51d0-1964-4705-8042-a3a6c146efbf","Wayne Reynolds","black","2015","","False","False","10691","0.05","0.12","0.02","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447327","https://decks.tcgplayer.com/magic/deck/search?contains=Oakenform&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Oakenform","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Oakenform","https://shop.tcgplayer.com/product/productsearch?id=168486&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Oakenform?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68543?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","949589c4-97bc-46b4-bc6c-4b2709fd5e3a","43d7fcf3-acc2-4e9b-a466-c73b1b6c58af","447200","68289","67808","166712","Omenspeaker","en","2018-07-13","https://api.scryfall.com/cards/949589c4-97bc-46b4-bc6c-4b2709fd5e3a","https://scryfall.com/card/m19/64/omenspeaker?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/64.jpg?1531451384","https://img.scryfall.com/cards/normal/en/m19/64.jpg?1531451384","https://img.scryfall.com/cards/large/en/m19/64.jpg?1531451384","https://img.scryfall.com/cards/png/en/m19/64.png?1531451384","https://img.scryfall.com/cards/art_crop/en/m19/64.jpg?1531451384","https://img.scryfall.com/cards/border_crop/en/m19/64.jpg?1531451384","{1},{U}","2.0","Creature — Human Wizard","When Omenspeaker enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","","1","3","U","","","U","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/949589c4-97bc-46b4-bc6c-4b2709fd5e3a/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A43d7fcf3-acc2-4e9b-a466-c73b1b6c58af&unique=prints","64","False","common","Her prophecies amaze her even as she speaks them.","cc5dbee4-a682-4c4e-bf2e-1164b95040d2","Dallas Williams","black","2015","","False","False","4604","0.07","0.08","0.02","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447200","https://decks.tcgplayer.com/magic/deck/search?contains=Omenspeaker&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Omenspeaker","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Omenspeaker","https://shop.tcgplayer.com/product/productsearch?id=166712&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Omenspeaker?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68289?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","db534b4e-8bff-4924-baea-9988d195fb25","730e39e6-c61d-48b5-8827-bfd952bf1be7","447201","68291","67810","169083","Omniscience","en","2018-07-13","https://api.scryfall.com/cards/db534b4e-8bff-4924-baea-9988d195fb25","https://scryfall.com/card/m19/65/omniscience?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/65.jpg?1531451394","https://img.scryfall.com/cards/normal/en/m19/65.jpg?1531451394","https://img.scryfall.com/cards/large/en/m19/65.jpg?1531451394","https://img.scryfall.com/cards/png/en/m19/65.png?1531451394","https://img.scryfall.com/cards/art_crop/en/m19/65.jpg?1531451394","https://img.scryfall.com/cards/border_crop/en/m19/65.jpg?1531451394","{7},{U},{U},{U}","10.0","Enchantment","You may cast spells from your hand without paying their mana costs.","","","","U","","","U","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/db534b4e-8bff-4924-baea-9988d195fb25/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A730e39e6-c61d-48b5-8827-bfd952bf1be7&unique=prints","65","False","mythic","""The things I once imagined would be my greatest achievements were only the first steps toward a future I can only begin to fathom.""\n— Jace Beleren","c9b5109b-7cbb-4d5a-aba9-6cdf71bed7ab","Jason Chan","black","2015","","False","False","726","7.52","16.59","4.42","1.11","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447201","https://decks.tcgplayer.com/magic/deck/search?contains=Omniscience&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Omniscience","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Omniscience","https://shop.tcgplayer.com/product/productsearch?id=169083&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Omniscience?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68291?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","9e016da6-8800-47b4-9b96-1887677c795c","fa10cacb-ab14-447a-b411-9d74bc3772fb","447289","68467","67986","166713","Onakke Ogre","en","2018-07-13","https://api.scryfall.com/cards/9e016da6-8800-47b4-9b96-1887677c795c","https://scryfall.com/card/m19/153/onakke-ogre?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/153.jpg?1531452562","https://img.scryfall.com/cards/normal/en/m19/153.jpg?1531452562","https://img.scryfall.com/cards/large/en/m19/153.jpg?1531452562","https://img.scryfall.com/cards/png/en/m19/153.png?1531452562","https://img.scryfall.com/cards/art_crop/en/m19/153.jpg?1531452562","https://img.scryfall.com/cards/border_crop/en/m19/153.jpg?1531452562","{2},{R}","3.0","Creature — Ogre Warrior","","","4","2","R","","","R","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/9e016da6-8800-47b4-9b96-1887677c795c/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afa10cacb-ab14-447a-b411-9d74bc3772fb&unique=prints","153","False","common","The ogres you know are nothing like the Onakke. Possessing both intellect and industry, they had brute strength without being brutish.","eea90826-1efc-4319-b54e-abdfa2775ad3","Mathias Kollros","black","2015","","False","False","16482","0.02","0.06","0.02","0.04","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447289","https://decks.tcgplayer.com/magic/deck/search?contains=Onakke+Ogre&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Onakke+Ogre","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Onakke+Ogre","https://shop.tcgplayer.com/product/productsearch?id=166713&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Onakke-Ogre?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68467?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","17f2aaf5-6c1f-4663-865f-6cdd5640485a","757eadac-dd29-4a7f-8683-5bc823168326","447202","68293","67812","169114","One with the Machine","en","2018-07-13","https://api.scryfall.com/cards/17f2aaf5-6c1f-4663-865f-6cdd5640485a","https://scryfall.com/card/m19/66/one-with-the-machine?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/66.jpg?1531451404","https://img.scryfall.com/cards/normal/en/m19/66.jpg?1531451404","https://img.scryfall.com/cards/large/en/m19/66.jpg?1531451404","https://img.scryfall.com/cards/png/en/m19/66.png?1531451404","https://img.scryfall.com/cards/art_crop/en/m19/66.jpg?1531451404","https://img.scryfall.com/cards/border_crop/en/m19/66.jpg?1531451404","{3},{U}","4.0","Sorcery","Draw cards equal to the highest converted mana cost among artifacts you control.","","","","U","","","U","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/17f2aaf5-6c1f-4663-865f-6cdd5640485a/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A757eadac-dd29-4a7f-8683-5bc823168326&unique=prints","66","False","rare","""When I grafted the Planar Bridge into myself, I felt my Planeswalker spark flare beyond my body. The Multiverse was my plaything. It felt . . . incredible.""\n—Tezzeret","1c25fc8b-3bd8-4764-af51-0aead06daeb3","Chase Stone","black","2015","","False","False","2301","0.23","0.66","0.16","0.02","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447202","https://decks.tcgplayer.com/magic/deck/search?contains=One+with+the+Machine&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=One+with+the+Machine","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=One+with+the+Machine","https://shop.tcgplayer.com/product/productsearch?id=169114&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/One-with-the-Machine?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68293?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","9ced1022-abd9-4e22-a4f2-fef738295224","28778958-a1f9-4fea-b551-c193d1257f18","447248","68385","67904","169084","Open the Graves","en","2018-07-13","https://api.scryfall.com/cards/9ced1022-abd9-4e22-a4f2-fef738295224","https://scryfall.com/card/m19/112/open-the-graves?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/112.jpg?1531452108","https://img.scryfall.com/cards/normal/en/m19/112.jpg?1531452108","https://img.scryfall.com/cards/large/en/m19/112.jpg?1531452108","https://img.scryfall.com/cards/png/en/m19/112.png?1531452108","https://img.scryfall.com/cards/art_crop/en/m19/112.jpg?1531452108","https://img.scryfall.com/cards/border_crop/en/m19/112.jpg?1531452108","{3},{B},{B}","5.0","Enchantment","Whenever a nontoken creature you control dies, create a 2/2 black Zombie creature token.","","","","B","","","B","","","related_card","9ced1022-abd9-4e22-a4f2-fef738295224","combo_piece","Open the Graves","Enchantment","https://api.scryfall.com/cards/9ced1022-abd9-4e22-a4f2-fef738295224","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/9ced1022-abd9-4e22-a4f2-fef738295224/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A28778958-a1f9-4fea-b551-c193d1257f18&unique=prints","112","False","rare","It was a night like any other. It would soon become a night no one would ever forget.","6dacfc4f-322f-46e3-885f-1283606244eb","Vincent Proce","black","2015","","False","False","938","0.77","1.45","0.33","0.02","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447248","https://decks.tcgplayer.com/magic/deck/search?contains=Open+the+Graves&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Open+the+Graves","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Open+the+Graves","https://shop.tcgplayer.com/product/productsearch?id=169084&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Open-the-Graves?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68385?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","related_card","ed08aac1-9e82-4049-9926-618f15222024","token","Zombie","Token Creature — Zombie","https://api.scryfall.com/cards/ed08aac1-9e82-4049-9926-618f15222024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","card","0ea1dfb4-1983-41f7-956c-f2a1d1489b54","014d00fc-434a-4b06-84b2-afd930677d61","447167","68223","67742","168442","Oreskos Swiftclaw","en","2018-07-13","https://api.scryfall.com/cards/0ea1dfb4-1983-41f7-956c-f2a1d1489b54","https://scryfall.com/card/m19/31/oreskos-swiftclaw?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/31.jpg?1531451014","https://img.scryfall.com/cards/normal/en/m19/31.jpg?1531451014","https://img.scryfall.com/cards/large/en/m19/31.jpg?1531451014","https://img.scryfall.com/cards/png/en/m19/31.png?1531451014","https://img.scryfall.com/cards/art_crop/en/m19/31.jpg?1531451014","https://img.scryfall.com/cards/border_crop/en/m19/31.jpg?1531451014","{1},{W}","2.0","Creature — Cat Warrior","","","3","1","W","","","W","","","","","","","","","legal","legal","legal","legal","legal","legal","legal","legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","True","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/0ea1dfb4-1983-41f7-956c-f2a1d1489b54/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A014d00fc-434a-4b06-84b2-afd930677d61&unique=prints","31","False","common","The leonin of Oreskos are quick to take offense—not because they are thin-skinned but because they are always ready for a fight.","79aa3ba5-9672-4dd0-bba4-752c4b1392ab","James Ryman","black","2015","","False","False","9613","0.02","0.10","0.03","0.01","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447167","https://decks.tcgplayer.com/magic/deck/search?contains=Oreskos+Swiftclaw&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Oreskos+Swiftclaw","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Oreskos+Swiftclaw","https://shop.tcgplayer.com/product/productsearch?id=168442&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Search?referrer=scryfall&searchString=Oreskos+Swiftclaw&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68223?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","4663bd13-243e-4b8c-9ca8-158576b58803","4c2b10ba-1930-4da8-9570-c89b2e239e3e","447356","68601","68120","168757","Palladia-Mors, the Ruiner","en","2018-07-13","https://api.scryfall.com/cards/4663bd13-243e-4b8c-9ca8-158576b58803","https://scryfall.com/card/m19/219/palladia-mors-the-ruiner?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/219.jpg?1532447787","https://img.scryfall.com/cards/normal/en/m19/219.jpg?1532447787","https://img.scryfall.com/cards/large/en/m19/219.jpg?1532447787","https://img.scryfall.com/cards/png/en/m19/219.png?1532447787","https://img.scryfall.com/cards/art_crop/en/m19/219.jpg?1532447787","https://img.scryfall.com/cards/border_crop/en/m19/219.jpg?1532447787","{3},{R},{G},{W}","6.0","Legendary Creature — Elder Dragon","Flying, vigilance, trample\nPalladia-Mors, the Ruiner has hexproof if it hasn't dealt damage yet.","","6","6","G","R","W","G","R","W","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/4663bd13-243e-4b8c-9ca8-158576b58803/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4c2b10ba-1930-4da8-9570-c89b2e239e3e&unique=prints","219","False","mythic","Sister of Nicol Bolas. Survivor of the Elder Dragon War. The most vicious of her kin.","ec0afd26-62d4-4ebb-a34e-b4ed68cc80b7","Svetlin Velinov","black","2015","legendary","False","False","6429","0.76","3.22","0.79","0.03","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447356","https://decks.tcgplayer.com/magic/deck/search?contains=Palladia-Mors%2C+the+Ruiner&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Palladia-Mors%2C+the+Ruiner","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Palladia-Mors%2C+the+Ruiner","https://shop.tcgplayer.com/product/productsearch?id=168757&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/PalladiaMors-the-Ruiner?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68601?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
"","","","card","2256e07f-a35a-4393-9744-045564d5770b","df9fe645-6f7b-44a0-ab69-b68cb7e525cd","447203","68295","67814","168451","Patient Rebuilding","en","2018-07-13","https://api.scryfall.com/cards/2256e07f-a35a-4393-9744-045564d5770b","https://scryfall.com/card/m19/67/patient-rebuilding?utm_source=api","normal","True","https://img.scryfall.com/cards/small/en/m19/67.jpg?1531451415","https://img.scryfall.com/cards/normal/en/m19/67.jpg?1531451415","https://img.scryfall.com/cards/large/en/m19/67.jpg?1531451415","https://img.scryfall.com/cards/png/en/m19/67.png?1531451415","https://img.scryfall.com/cards/art_crop/en/m19/67.jpg?1531451415","https://img.scryfall.com/cards/border_crop/en/m19/67.jpg?1531451415","{3},{U},{U}","5.0","Enchantment","At the beginning of your upkeep, target opponent puts the top three cards of their library into their graveyard, then you draw a card for each land card put into that graveyard this way.","","","","U","","","U","","","","","","","","","legal","legal","legal","legal","legal","not_legal","legal","not_legal","legal","legal","not_legal","arena","mtgo","paper","False","True","True","False","False","False","m19","Core Set 2019","https://api.scryfall.com/sets/2f5f2509-56db-414d-9a7e-6e312ec3760c","https://api.scryfall.com/cards/search?order=set&q=e%3Am19&unique=prints","https://scryfall.com/sets/m19?utm_source=api","https://api.scryfall.com/cards/2256e07f-a35a-4393-9744-045564d5770b/rulings","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adf9fe645-6f7b-44a0-ab69-b68cb7e525cd&unique=prints","67","False","rare","Nicol Bolas would not rest until he was restored to his former glory.","d195fa18-9bea-44f4-a838-a69e801e3727","Magali Villeneuve","black","2015","","False","False","1986","0.34","1.44","0.37","0.02","https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=447203","https://decks.tcgplayer.com/magic/deck/search?contains=Patient+Rebuilding&page=1&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","http://edhrec.com/route/?cc=Patient+Rebuilding","http://mtgtop8.com/search?MD_check=1&SB_check=1&cards=Patient+Rebuilding","https://shop.tcgplayer.com/product/productsearch?id=168451&partner=Scryfall&utm_campaign=affiliate&utm_medium=scryfall&utm_source=scryfall","https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Patient-Rebuilding?referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall","https://www.cardhoarder.com/cards/68295?affiliate_id=scryfall&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=scryfall"
